epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9314,0.77731,2.6641,1.04283,0.17769,0.8121,0.05203,0.0441,0.70883,2.68439,0.95003,0.070037,0.00332922,0.00332922
2,126.725,0.57225,2.42868,0.95937,0.01243,1,0.04906,0.04262,0.67392,2.43583,0.88036,0.0399051,0.00653063,0.00653063
3,186.486,0.50396,2.37985,0.94148,0.01171,1,0.05466,0.04959,0.44028,2.40366,0.77728,0.0096412,0.00960005,0.00960005
4,246.815,0.46143,2.34587,0.93479,0.01881,1,0.05027,0.04632,0.44223,2.31266,0.77812,0.009406,0.009406,0.009406
5,306.336,0.41971,2.32296,0.92524,0.01544,1,0.0522,0.0479,0.39536,2.2708,0.76474,0.009208,0.009208,0.009208
6,366.159,0.41423,2.31018,0.92498,0.00915,1,0.05234,0.04823,0.39683,2.40238,0.77679,0.00901,0.00901,0.00901
7,426.049,0.37069,2.29785,0.91645,0.03407,1,0.04973,0.04934,0.27395,2.30963,0.74765,0.008812,0.008812,0.008812
8,486.483,0.36951,2.29285,0.9144,0.01057,1,0.04988,0.04955,0.2625,2.38808,0.73922,0.008614,0.008614,0.008614
9,546.648,0.34471,2.28536,0.91401,0.01609,1,0.05,0.0493,0.323,2.54948,0.75131,0.008416,0.008416,0.008416
10,606.392,0.35557,2.28557,0.9122,0.01212,1,0.0464,0.04239,0.35859,2.35873,0.76491,0.008218,0.008218,0.008218
11,666.011,0.34729,2.27136,0.91483,0.01811,1,0.05001,0.04998,0.27343,2.24835,0.73659,0.00802,0.00802,0.00802
12,728.165,0.32106,2.26495,0.90989,0.01171,1,0.04898,0.04888,0.26115,2.3376,0.74459,0.007822,0.007822,0.007822
13,788.487,0.31505,2.26507,0.90758,0.02635,1,0.05542,0.05493,0.29085,2.21247,0.7489,0.007624,0.007624,0.007624
14,848.784,0.3228,2.26894,0.90644,0.01609,1,0.04943,0.04943,0.19547,2.2184,0.72376,0.007426,0.007426,0.007426
15,908.442,0.3067,2.25482,0.90392,0.01141,1,0.0501,0.0501,0.19015,2.30937,0.72451,0.007228,0.007228,0.007228
16,968.089,0.32107,2.25372,0.90784,0.00851,1,0.05063,0.0506,0.16718,2.36201,0.73293,0.00703,0.00703,0.00703
