epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.929,0.59738,2.16587,0.97894,0.82383,0.0013,0.01059,0.00873,nan,nan,nan,0.0700077,0.00333248,0.00333248
2,1016.84,0.4353,1.7049,0.92745,0.9898,0.0013,0.01327,0.01262,nan,nan,nan,0.0399343,0.00659249,0.00659249
3,1510.42,0.3896,1.58665,0.91948,0.9947,0.0013,0.01561,0.0152,nan,nan,nan,0.00978767,0.00977917,0.00977917
4,2002.32,0.36476,1.53286,0.9138,0.99372,0.0013,0.01373,0.01302,nan,nan,nan,0.00967,0.00967,0.00967
5,2496.46,0.35034,1.51044,0.91146,0.94847,0.0013,0.01693,0.01693,nan,nan,nan,0.00956,0.00956,0.00956
6,2990.4,0.32585,1.49077,0.90758,0.94753,0.0013,0.02002,0.02002,nan,nan,nan,0.00945,0.00945,0.00945
7,3482.11,0.32741,1.47725,0.90856,0.9513,0.0013,0.02162,0.02096,nan,nan,nan,0.00934,0.00934,0.00934
8,3974.07,0.31647,1.46227,0.90543,0.94693,0.0013,0.01625,0.01503,nan,nan,nan,0.00923,0.00923,0.00923
9,4465.69,0.30482,1.44922,0.90684,0.94854,0.0013,0.01559,0.01559,nan,nan,nan,0.00912,0.00912,0.00912
10,4959.71,0.29724,1.43511,0.90363,0.9922,0.0013,0.00801,0.00801,nan,nan,nan,0.00901,0.00901,0.00901
11,5448.49,0.29906,1.44147,0.90514,0.95204,0.0013,0.00819,0.00819,nan,nan,nan,0.0089,0.0089,0.0089
12,5940.5,0.28797,1.42511,0.9035,0.94769,0.0013,0.01193,0.01193,nan,nan,nan,0.00879,0.00879,0.00879
13,6434.45,0.28308,1.42331,0.90305,0.94819,0.0013,0.01093,0.01093,nan,nan,nan,0.00868,0.00868,0.00868
14,6926.13,0.27045,1.39494,0.90043,0.94929,0.0013,0.01533,0.01533,nan,nan,nan,0.00857,0.00857,0.00857
15,7417.93,0.27387,1.40748,0.90143,0.94941,0.0013,0.01239,0.01239,nan,nan,nan,0.00846,0.00846,0.00846
16,7911.87,0.2664,1.38832,0.89928,0.98983,0.0013,0.00867,0.00867,nan,nan,nan,0.00835,0.00835,0.00835
17,8403.93,0.26389,1.383,0.89934,0.94983,0.0013,0.01239,0.01239,nan,nan,nan,0.00824,0.00824,0.00824
18,8896.03,0.26032,1.38287,0.90047,0.95154,0.0013,0.00981,0.00981,nan,nan,nan,0.00813,0.00813,0.00813
